company_name,company_domain,lead_rows
Sherwin-Williams,www.sherwin-williams.com,69
Sobeys,sobeys.com,69
Balyasny Asset Management L.P.,bamfunds.com,68
"J.B. Hunt Transport Services, Inc.",jbhunt.com,68
Chevron,chevron.com,67
Comcast,corporate.comcast.com,67
Medtronic,medtronic.com,67
PSP Investments,www.investpsp.com,67
Barings,barings.com,66
Citi,citigroup.com,66
KPMG,kpmg.com,66
KeHE Distributors,kehe.com,66
Weatherford,weatherford.com,66
Intel Corporation,www.intel.com,65
Millennium,mlp.com,65
Apple,apple.com,64
Golub Capital,golubcapital.com,64
Qualitest,qualitestgroup.com,64
Toast,pos.toasttab.com,64
UiPath,uipath.com,64
Veeam Software,veeam.com,64
William Blair,www.w-blair.com,64
BDO Canada,bdo.ca,63
Johnson & Johnson,jnj.com,63
Morgan Advanced Materials,www.morganadvancedmaterials.com,63
Novo Nordisk,novonordisk.com,63
Prudential Financial,www.prudential.com,63
VERITAS,veritas.com,63
Caption Health,www.gehealthcare.com,62
FlightSafety International,flightsafety.com,62
Okta,okta.com.pl,62
SAS,www.sas.com,62
Stout,stout.com,62
Xero,xero.com,62
Abnormal AI,abnormalsecurity.com,61
Apex Fintech Solutions,apexfintechsolutions.com,61
BNP Paribas,group.bnpparibas,61
Colliers,ow.ly,61
HCA Healthcare,hcahealthcare.com,61
Health Care Service Corporation,hcsc.com,61
JLT Asia,marsh.com,61
M&G plc,global.mandg.com,61
Sage,sage.com,61
The Reynolds and Reynolds Company,reyrey.com,61
3M,3m.com,60
CIBC,www.cibc.com,60
Deutsche Bank,www.db.com,60
Freshworks,freshworks.com,60
MUFG Capital Analytics,mufg-investorservices.com,60
Northwestern Mutual,northwesternmutual.com,60
Optimum Solutions Pte Ltd,ukg.com,60
PicPay,picpay.com,60
SalonCentric - A Subsidiary of L'Oreal USA,saloncentric.com,60
Sophos,sophos.com,60
University of Minnesota,umn.edu,60
ITV,itvplc.com,59
KPN,www.kpn.com,59
Post Consumer Brands,www.postconsumerbrands.com,59
Vodacom,vodacom.com,59
Andaz Ottawa ByWard Market,hyatt.com,58
Ericsson,ericsson.com,58
GXS,opentext.com,58
Presidio,presidio.com,58
SLB,slb.com,58
Starbucks,starbucks.com,58
Bessemer Trust,www.bessemertrust.com,57
CEVA Logistics,cevalogistics.com,57
Druva,druva.com,57
Ellucian,ellucian.com,57
HTC,htc.com,57
National Bank of Canada,bnc.ca,57
Optiv,optiv.com,57
Rooms To Go,roomstogo.com,57
Air Canada,www.aircanada.com,56
EY,ey.com,56
HCLTech,hcltech.com,56
Ares Management Corporation,aresmgmt.com,55
Brown Brothers Harriman,bbh.com,55
CaixaBank,www.caixabank.es,55
Cushman & Wakefield,cushmanwakefield.com,55
Elevance Health,elevancehealth.com,55
IFS,ifs.com,55
Kotak Life,kotak.com,55
L3 Technologies,siemens.com,55
MICROS Systems Inc,oracle.com,55
NatWest Group,jobs.natwestgroup.com,55
Thales,www.thalesgroup.com,55
Wellington Management,wellington.com,55
Workplace Safety and Insurance Board (WSIB),wsib.ca,55
Banco de Chile,www.bancochile.cl,54
Cisco,www.cisco.com,54
ClickUp,clickup.com,54
ECI Software Solutions,ecisolutions.com,54
LexisNexis,lexisnexis.com,54
NES Fircroft,nesfircroft.com,54
Northwell Health,northwell.edu,54
Otsuka Pharmaceutical Companies (U.S.),otsuka-us.com,54
BambooHR,bamboohr.com,53
Bosch,bosch.com,53
Careem,careem.com,53
"Docker, Inc",docker.com,53
Edelman Financial Engines,edelmanfinancialengines.com,53
Elastic,elastic.co,53
Milwaukee Tool,milwaukeetool.com,53
Rockefeller Capital Management,rockco.com,53
Scotiabank,www.scotiabank.com,53
TricorBraun,tricorbraun.com,53
B3,b3.com.br,52
Blue Cross Blue Shield of Michigan,bcbsm.com,52
Datadog,datadoghq.com,52
Electric,se.com,52
Justworks,justworks.com,52
Razorpay,razorpay.com,52
Rippling,rippling.com,52
Safety National,safetynational.com,52
airtel,careers.airtel.com,52
CSC,dxc.com,51
Exclusive Networks,exclusive-networks.com,51
Kainos,kainos.com,51
Mspark,mspark.com,51
PIMCO,www.pimco.com,51
Sun Life,sunlife.com,51
Tata Metaliks,tatasteel.com,51
Vista Equity Partners,vistaequitypartners.com,51
AssetMark,assetmark.com,50
Baird,rwbaird.com,50
CSOB,csob.cz,50
Cardinal Health,cardinalhealth.com,50
Carrefour,recrute.carrefour.fr,50
Citadel,citadel.com,50
Coppel,coppel.com,50
Fortress,fortress.com,50
Hyland,hyland.com,50
Linde,linde.com,50
Nutanix,nutanix.com,50
SONDA,sonda.com,50
The Wonderful Company,wonderful.com,50
du,du.ae,50
Johnstone Supply,johnstonesupply.com,49
UPS,ups.com,49
1Password,1password.com,48
Applied Materials,appliedmaterials.com,48
Bolt,bolt.eu,48
"Brighterion, a Mastercard Company",mastercard.us,48
City National Bank,www.cnb.com,48
Commonwealth Financial Network,commonwealth.com,48
Crowne Plaza Houston River Oaks,ihg.com,48
The Ohio State University,osu.edu,48
Wilmington Trust,wilmingtontrust.com,48
Axis Communications,axis.com,47
Equitable,equitable.com,47
Microland Limited,microland.com,47
Murex,murex.ch,47
Vertex Inc.,vertexinc.com,47
Wiz,wiz.io,47
Appian,appian.com,46
Ciena,ciena.com,46
JTI,jti.com,46
Janus Henderson Investors,www.janushenderson.com,46
Nasdaq,nasdaq.com,46
Tesco,tesco.com,46
Walmart,walmart.com,46
ADM,adm.com,45
Air Liquide,airliquide.com,45
Alithya,alithya.com,45
Alteryx,alteryx.com,45
Associated Wholesale Grocers,awginc.com,45
BTG Pactual,lp.btgpactual.com,45
Banc of California,bancofcal.com,45
Diversified,onediversified.com,45
Dyson,dyson.com,45
La Banque Postale,www.labanquepostale.com,45
Mastek,mastek.com,45
NFL Media,www.nfl.com,45
Philip Morris International,www.pmi.com,45
Reinhart Foodservice,www.rfsdelivers.com,45
Sazerac Company,sazerac.com,45
Tally Solutions Pvt Ltd,tallysolutions.co.za,45
UC San Diego,ucsd.edu,45
Zurich Insurance,zurich.com,45
Avanade,avanade.com,44
Carhartt,www.carhartt.com,44
ConnX Inc.,softwareag.com,44
Hightower Advisors,hightoweradvisors.com,44
Holland & Barrett,hollandandbarrett.com,44
J.P. Morgan,www.jpmorgan.com,44
Koch,kochind.com,44
McKesson,mckesson.com,44
Osaic,osaic.com,44
Ryan,ryan.com,44
Santander Digital Services,santanderdigitalservices.com,44
Stanford University,stanford.edu,44
Texas Capital,texascapitalbank.com,44
Accenture,www.accenture.com,43
Capital Numbers,capitalnumbers.com,43
Cvent,cvent.com,43
Flipkart,flipkart.com,43
Hitachi Rail,hitachirail.com,43
Hughes,hughes.com,43
King's College London,kcl.ac.uk,43
Orange,www.orange.com,43
"PT Bank Danamon Indonesia, Tbk.",danamon.co.id,43
Rackspace Technology,rackspace.com,43
Securian Financial,securian.com,43
The University of Alabama,ua.edu,43
Adobe,www.adobe.com,42
Alior Bank SA,www.aliorbank.pl,42
Ascension,ascension.org,42
Banco de Crédito BCP,www.viabcp.com,42
Blackbaud,blackbaud.com,42
Bureau van Dijk - A Moody's Analytics Company,www.moodys.com,42
Caisse de dépôt et placement du Québec (CDPQ),www.cdpq.com,42
Capillary Technologies,capillarytech.com,42
Capital Group,capitalgroup.com,42
Foot Locker,footlocker-inc.com,42
HDFC ERGO General Insurance,hdfcergo.com,42
Mirakl,mirakl.com,42
NatWest Group,natwestgroup.com,42
OP Financial Group,www.op.fi,42
Perkins&Will,perkinswill.com,42
Reckitt,reckitt.com,42
Sargento,sargento.com,42
11:11 Systems,1111systems.com,41
Acumatica,acumatica.com,41
Albert G. Ruben - A Relation Company,aon.com,41
"Arbor Networks, now part of NETSCOUT",netscout.com,41
BC Hydro,bchydro.com,41
Cyient,cyient.com,41
Deloitte,www.deloitte.com,41
Inspire,stories.inspirebrands.com,41
"InvestCloud, Inc.",investcloud.com,41
Johnson Brothers,johnsonbrothers.com,41
Mastercard,www.mastercard.com,41
Milestone Systems,milestonesys.com,41
Motorola Solutions,motorolasolutions.com,41
Palo Alto Networks,www.paloaltonetworks.com,41
Red Hat,redhat.com,41
Sanlam,sanlam.co.za,41
Santander Bank Polska,santander.pl,41
True Value Company,truevaluecompany.com,41
Vertiv,vertiv.com,41
Warby Parker,warbyparker.com,41
Wealth Enhancement,wealthenhancement.com,41
Agropur,agropur.com,40
Aramark,aramark.com,40
Asurion,asurion.com,40
Baker Hughes,bakerhughes.com,40
CHANEL,chanel.com,40
Chobani,chobani.com,40
Ellucian,www.ellucian.com,40
Everest,www.everestglobal.com,40
Helzberg Diamonds,www.helzberg.jobs,40
Jellyfish,www.jellyfish.com,40
NV5,nv5.com,40
Neuberger Berman,nb.com,40
Schreiber Foods,schreiberfoods.com,40
Telkomsel,www.telkomsel.com,40
The Container Store,containerstore.com,40
Zycus,zycus.com,40
AT&T,att.com,39
Allspring Global Investments,allsprg.co,39
Aquiire - A Coupa Company,coupa.com,39
Armis,armis.com,39
BNSF Railway,bnsf.com,39
Bankinter,www.bankinter.com,39
Blackstone,blackstone.com,39
Cantaloupe Inc,cantaloupe.com,39
Costco,costco.com,39
Cresset,cressetcapital.com,39
Cummins Inc.,cummins.com,39
DSV - Global Transport and Logistics,dsv.com,39
FirstBank,firstbanknj.com,39
Global,global.com,39
Hanmi Bank,www.hanmi.com,39
KPMG,www.kpmg.com,39
Merck,merck.com,39
Rutgers University,rutgers.edu,39
TPG,tpg.com,39
Vontobel,www.vontobel.com,39
Woodforest National Bank,woodforest.com,39
Yale University,yale.edu,39
BECU,becu.org,38
BlackRock,www.blackrock.com,38
Cadillac Fairview,cadillacfairview.com,38
Cegid,cegid.com,38
Chubb,chubb.com,38
City Year,cityyear.org,38
DHL,dhl.com,38
Delta Air Lines,delta.com,38
Epicor,epicor.com,38
European Commission,europa.eu,38
Flex,flex.com,38
Ford Motor Company,ford.com,38
"Forethought Financial Group, Inc.",globalatlantic.com,38
GSK,gsk.com,38
International Financial Data Services (IFDS),ssctech.com,38
Lutech,lutech.group,38
Nationwide,nationwide.com,38
Nicola Wealth,www.nicolawealth.com,38
Nike,nike.com,38
S&P Global,spglobal.com,38
SANS Institute,sans.org,38
Sky,sky.com.br,38
TSB Bank,tsb.co.uk,38
Veeva Systems,veeva.com,38
A.P. Moller - Maersk,maersk.com,37
Ansys,www.ansys.com,37
Banco de Crédito BCP,viabcp.com,37
Bradesco Seguros,www.bradescoseguros.com.br,37
CIBC Capital Markets,www.cibccm.com,37
Curaleaf,ir.curaleaf.com,37
Factorial,factorialhr.com,37
Gusto,gusto.com,37
Healthfirst,healthfirst.org,37
IBM,www.ibm.com,37
JoulestoWatts Business Solutions Pvt Ltd,joulestowatts.com,37
LastPass,lastpass.com,37
MetLife,metlife.com,37
Netskope,netskope.com,37
OneAdvanced,oneadvanced.com,37
PayPal,paypal.com,37
Reflexis Systems is now part of Zebra,zebra.com,37
"Ryder System, Inc.",ryder.com,37
SUSE,suse.com,37
Sparq,teamsparq.com,37
Sprinklr,sprinklr.com,37
State Farm,statefarm.com,37
Taj Hotels,tajhotels.com,37
Truist,truist.com,37
iA Financial Group (Industrial Alliance),ia.ca,37
AB InBev,ab-inbev.com,36
AQR Capital Management,aqr.com,36
Adani Enterprises Limited,adanienterprises.com,36
Atidiv,atidiv.com,36
BSN SPORTS,bsnsports.com,36
Banamex,banamex.com,36
Bandhan Bank,bandhanbank.com,36
Belfius,belfius.be,36
Charles River Development,crd.com,36
Databricks,databricks.com,36
Duck Creek Technologies,duckcreek.com,36
Edwards Lifesciences,edwards.com,36
Eli Lilly and Company,lilly.com,36
FEI Company,thermofisher.com,36
Fareportal,fareportal.com,36
GMR Marketing,gmrmarketing.com,36
Halliburton,halliburton.com,36
Mercado Libre,mercadolibre.com,36
MoEngage,moengage.com,36
Phillips 66,phillips66.com,36
PicPay,www.picpay.com.br,36
"Reinsurance Group of America, Incorporated",rgare.com,36
Robinhood,www.robinhood.com,36
TD Ameritrade,www.tdameritrade.com,36
Telia,teliacompany.com,36
USDA,www.usda.gov,36
Whatfix,whatfix.com,36
Alaska Airlines,careers.alaskaair.com,35
Axonius,axonius.com,35
Bolthouse Farms,bolthouse.com,35
Brookfield Properties,brookfieldproperties.com,35
Crédit Agricole CIB,www.ca-cib.com,35
ExtraHop,extrahop.com,35
Illumio,illumio.com,35
Innovaccer,innovaccer.com,35
MSIG Asia,msig-asia.com,35
Malwarebytes,malwarebytes.com,35
Michael Foods,michaelfoods.com,35
"NTT DATA, Inc.",global.ntt,35
New York Life Insurance Company,nyl.co,35
Orange Cyberdefense,orangecyberdefense.com,35
Orange Polska,orange.pl,35
Procter & Gamble,www.pg.com,35
RBC Wealth Management,www.rbcwealthmanagement.com,35
SageSure,sagesure.com,35
Sonatrach,www.sonatrach.com,35
Amadeus,amadeus.com,34
American Airlines,aa.com,34
"Bob Evans Farms, Inc.",bobevansgrocery.com,34
Canaccord Genuity - Global Capital Markets,www.cgf.com,34
CenterPoint Energy,centerpointenergy.com,34
Cloudera,cloudera.com,34
Fractal,fractal.ai,34
IDFC FIRST Bank,www.idfcfirstbank.com,34
ION,on.iongroup.com,34
Investec,link.investec.com,34
Microsoft,www.microsoft.com,34
Mobily,mobily.com.sa,34
NBCUniversal,nbcuniversal.com,34
OPSWAT,opswat.com,34
ProMach,promachbuilt.com,34
Stack Overflow,stackoverflow.co,34
TBC,www.tbcbank.ge,34
Upside,www.upside.com,34
Vodafone Idea Limited,www.myvi.in,34
Zscaler,zscaler.com,34
ABB,social.abb,33
ABC Fitness,abcfitness.com,33
Active.Ai - A Gupshup Inc Company,gupshup.io,33
BCX,bcx.co.za,33
Bank of Georgia,bankofgeorgia.ge,33
CAIXA,caixa.gov.br,33
Cleveland Clinic,www.clevelandclinic.org,33
Converse,converse.com,33
Curia,curiaglobal.com,33
GAF,gaf.com,33
IGM Financial Inc.,igmfinancial.com,33
JA Ingeniería Integral S.A.S.,sas.com,33
Jostens,jostens.com,33
Kendra Scott,kendrascott.com,33
Merck,merck.us,33
OFX,ofx.com,33
PGi,pgi.com,33
PenFed Credit Union,penfed.org,33
Rue Gilt Groupe,ruegiltgroupe.com,33
SPS Commerce,spscommerce.com,33
Samsung Ads,samsung.com,33
ScienceSoft,scnsoft.com,33
Siemens Gamesa,siemensgamesa.com,33
